"","study_order","ManiCheck","Exp1_prob_hiring","Exp1_loyalty","Exp1_honesty","Exp2_S1_seen_wrong","Exp2_S1_self_action","Exp2_S1_guide_other","Exp2_S2F_seen_wrong","Exp2_S2F_self_action","Exp2_S2F_guide_other","Exp2_S2M_seen_wrong","Exp2_S2M_self_action","Exp2_S2M_guide_other","MASC_set1","MASC_set2","MASC_set3","BIDR_self_deceptive","BIDR_impre_manage","age","gender","origcount","residence","soc_class","engunder","funnel_pay","assignmentId","hitId","CountryCode","CountryName","condition","Exp2_S2_seen_wrong_T2","Exp2_S2_self_action_T2","Exp2_S2_guide_other_T2"
"233","Exp1First",3.33333333333333,5,2,3,1,6,2,8,2,1,NA,NA,NA,4.75,3.58333333333333,3.5,6,7,44,1,"Volutpat ligula phasellus mattis tortor aliquam, dapibus tortor vestibulum interdum. Gravida auctor placerat.","Erat neque montes nibh vehicula malesuada tortor auctor vulputate aliquet integer eget justo.",4,6,3,"","","","","Dissonance_no_write",8,2,1
"234","Exp1First",4.33333333333333,7,2,2,6,6,3,NA,NA,NA,8,4,7,4.0625,3.25,6,6,11,46,2,"Volutpat mattis. Nullam sapien fusce sem aenean. Curabitur tincidunt, porta luctus, mi.","Facilisi aliquam morbi convallis proin dolor scelerisque tincidunt per facilisis quam leo? Phasellus, pede sagittis.",4,7,4,"","","","","Dissonance_no_write",8,4,7
"235","Exp1First",3.83333333333333,6,9,2,1,6,7,NA,NA,NA,1,2,7,4.125,4.25,7,7,6,70,1,"Vitae nec fermentum dolor morbi maecenas! Eleifend. Aenean auctor faucibus.","Elit magna vitae in culpa pretium blandit blandit? Massa. Dapibus.",2,2,5,"","","","","Dissonance_no_write",1,2,7
"236","Exp1First",2.83333333333333,8,8,9,9,1,6,2,2,4,NA,NA,NA,3.75,4.25,3.5,6,6,1,4,"Felis sollicitudin. Malesuada blandit purus tortor non commodo dui duis malesuada turpis magna etiam.","Ac bibendum ut! Ante arcu volutpat consequat fusce urna aliquam.",5,7,4,"","","","","Dissonance_no_write",2,2,4
"237","Exp2First",3.33333333333333,1,1,9,9,8,8,NA,NA,NA,4,1,8,4.125,4.08333333333333,5.5,3,6,41,1,"Eget? Morbi consectetuer? Metus mattis? Curabitur. Duis! Tortor? Fusce urna.","Magnis purus. Scelerisque odio. Porttitor viverra quam? Volutpat turpis? Viverra ipsum.",4,7,5,"","","","","Dissonance_no_write",4,1,8
"238","Exp1First",3.16666666666667,5,3,7,7,6,1,NA,NA,NA,7,5,1,4.375,3.33333333333333,3.5,4,7,61,4,"Arcu lacus. Ipsum dolorem sagittis pharetra orci luctus aliquet aenean enim? Justo. Viverra.","Vehicula ridiculus volutpat tellus proin temporibus? Vehicula erat dolorem cras.",5,5,6,"","","","","Dissonance_no_write",7,5,1
"239","Exp2First",3.5,7,4,6,5,7,4,NA,NA,NA,3,2,9,3.875,3.66666666666667,4.5,4,10,56,2,"Scelerisque. Lacus. Consectetuer wisi tempor, ipsum? Tortor! Urna montes rhoncus nullam potenti vehicula euismod.","Suscipit praesent natoque lorem faucibus. Felis accusamus nibh pharetra velit convallis id diam. Magnis dictumst.",2,7,4,"","","","","Dissonance_no_write",3,2,9
"240","Exp2First",4.16666666666667,4,8,7,1,5,1,7,8,4,NA,NA,NA,4,3.58333333333333,7,6,6,0,1,"Aenean. Proin accumsan in pretium, culpa lectus mattis nunc elementum iaculis dolorem! Fusce.","Etiam eros ultricies faucibus magna potenti! Vitae bibendum iaculis at iaculis turpis. Erat, ridiculus et.",4,2,7,"","","","","Dissonance_no_write",7,8,4
"241","Exp1First",2.83333333333333,9,4,1,9,2,3,2,5,1,NA,NA,NA,4.4375,3.75,4.5,6,5,83,3,"Pretium euismod fusce interdum sit urna natoque amet. Blandit temporibus.","Donec! Eu urna. Consequat. Montes tortor est vitae egestas vestibulum bibendum sapien, est cras.",3,3,5,"","","","","Dissonance_no_write",2,5,1
"242","Exp1First",2.5,8,9,9,9,5,8,2,7,4,NA,NA,NA,4.4375,3.91666666666667,4,5,5,21,4,"Ultricies sodales eros vivamus? Facilisis amet odio. Molestie! Commodo ultrices enim.","Auctor mauris sodales, at rutrum viverra. Aliquam consectetuer ac volutpat rhoncus euismod quam maecenas posuere.",1,3,5,"","","","","Dissonance_no_write",2,7,4
"243","Exp2First",3.16666666666667,6,5,5,4,3,1,4,9,8,NA,NA,NA,3.9375,3.08333333333333,6.5,6,6,13,3,"Pellentesque gravida enim, leo etiam egestas. Luctus dolor a pretium.","Wisi! Est massa a praesent bibendum diam. Sapien erat fusce! Sollicitudin ac magnis facilisis.",1,3,7,"","","","","Dissonance_no_write",4,9,8
"244","Exp1First",3.5,7,1,5,8,6,7,2,5,5,NA,NA,NA,3.9375,4,2.5,6,5,33,3,"Platea scelerisque tempor. Rutrum tempora curabitur velit facilisis volutpat fusce fermentum.","Placerat! Mi ridiculus sagittis vivamus molestie rutrum tortor velit etiam ullamcorper.",5,7,5,"","","","","Dissonance_no_write",2,5,5
"245","Exp2First",3.5,4,7,3,7,6,7,8,3,4,NA,NA,NA,4.8125,4.08333333333333,4,7,4,74,4,"Natoque pellentesque maecenas atque? Mattis a accusamus lorem sem dui! Phasellus imperdiet massa. Erat. Ultricies.","Suspendisse? Turpis ab. Felis, temporibus ac! Sagittis vestibulum ac blandit et amet.",1,3,3,"","","","","Dissonance_no_write",8,3,4
"246","Exp1First",3.16666666666667,5,1,4,4,8,9,NA,NA,NA,4,1,6,4.375,3.91666666666667,2.5,6,4,35,4,"Massa dui montes. Rhoncus curabitur maecenas bibendum, ipsum ac dignissim.","Ridiculus rutrum fermentum id tempor. Magna montes gravida tortor nulla? Lectus nonummy elementum odio egestas.",3,2,6,"","","","","Dissonance_no_write",4,1,6
"247","Exp1First",3.83333333333333,4,2,9,3,2,6,1,1,4,NA,NA,NA,4.3125,3.66666666666667,1,5,7,47,4,"Elementum gravida non nonummy lacus fringilla. Dictumst non pede elementum praesent.","Vulputate sollicitudin quis vivamus nibh, pede gravida tempor at sit. Blandit magna pretium euismod.",1,3,1,"","","","","Dissonance_no_write",1,1,4
"248","Exp1First",2.66666666666667,5,3,4,1,8,6,NA,NA,NA,4,1,2,4.5,3.5,5.5,4,4,66,1,"Etiam ultrices. Non ridiculus atque leo! Ut urna magna erat? Molestie pretium! Rhoncus.","Eu! Culpa magnis tempor vivamus tempor bibendum vivamus tellus vehicula.",3,2,2,"","","","","Dissonance_no_write",4,1,2
"249","Exp2First",3.66666666666667,5,4,9,1,8,3,NA,NA,NA,6,7,2,3.8125,4,4.5,5,5,32,4,"Commodo quam sem. Cursus ligula vulputate ultricies elementum accumsan platea eget erat curabitur placerat est.","Consectetuer vel velit est elit rhoncus dapibus at integer facilisi diam eget lacus augue faucibus.",1,6,6,"","","","","Dissonance_no_write",6,7,2
"250","Exp2First",3.16666666666667,4,1,5,2,7,8,NA,NA,NA,7,9,9,4.625,3.58333333333333,3.5,8,7,0,4,"Commodo per eros vel venenatis aenean. Velit placerat platea tortor risus iaculis elit.","Erat sollicitudin tortor risus consectetuer cursus lorem. A. Vel ut euismod id ipsum proin velit.",5,7,2,"","","","","Dissonance_no_write",7,9,9
"251","Exp2First",3.33333333333333,2,7,2,6,6,4,NA,NA,NA,8,5,4,4.25,3.91666666666667,4.5,11,6,8,2,"Suscipit etiam elit gravida consectetuer odio vivamus euismod consequat consequat. Donec arcu ante.","Sodales faucibus praesent tellus facilisis dignissim in sapien imperdiet tortor fermentum elementum eu? Ab.",4,2,1,"","","","","Dissonance_no_write",8,5,4
"252","Exp1First",2.5,5,9,9,8,2,9,9,2,4,NA,NA,NA,4.5,4,6.5,5,7,90,1,"Orci magna. Ab diam? Purus, mauris platea tortor neque massa aliquam volutpat odio.","Pharetra tortor nullam vehicula molestie laoreet integer etiam? Vehicula natoque.",2,2,4,"","","","","Dissonance_no_write",9,2,4
"253","Exp1First",3.66666666666667,5,3,1,1,6,2,NA,NA,NA,8,9,8,4.3125,4.08333333333333,5,7,4,82,2,"Tincidunt nunc orci ridiculus convallis blandit accumsan augue sed luctus.","Ante quam. Donec id commodo ante volutpat! Metus vestibulum arcu.",2,1,2,"","","","","Dissonance_no_write",8,9,8
"254","Exp2First",2,7,1,8,7,8,3,NA,NA,NA,6,6,9,3.625,3.75,6.5,10,9,12,1,"Interdum ridiculus suscipit metus aliquam ab molestie ligula, arcu pede? Est? Montes! Aliquam sit. Metus.","Non magnis bibendum dui faucibus. Sagittis et vel vestibulum? Enim ab.",1,7,2,"","","","","Dissonance_no_write",6,6,9
"255","Exp1First",3.66666666666667,4,8,9,1,5,6,7,7,3,NA,NA,NA,4.0625,4.33333333333333,3.5,3,5,66,4,"Cursus mi donec mattis. Imperdiet! Tellus fermentum quis eget? Neque amet. Mauris elit pede.","Natoque molestie, facilisi porttitor. Porta. Montes! Erat luctus et, rutrum eleifend iaculis blandit facilisis.",1,7,5,"","","","","Dissonance_no_write",7,7,3
"256","Exp2First",3.66666666666667,1,9,4,7,1,5,8,8,8,NA,NA,NA,3.9375,3.75,3.5,3,3,35,1,"Blandit temporibus dolor cras! Consequat. Nunc vitae sem dui tempor? Atque? Fermentum.","Vitae cras. Dictumst consequat rhoncus sit ut in risus ligula.",2,1,3,"","","","","Dissonance_no_write",8,8,8
"257","Exp1First",3.66666666666667,5,1,3,2,4,5,7,5,9,NA,NA,NA,4.4375,3.5,3,4,7,29,4,"Vehicula rhoncus molestie ultrices vestibulum luctus! Eget phasellus ante in metus lectus proin gravida tincidunt.","Magnis suscipit velit. Est nec per. Atque, egestas lorem dolor proin lectus. Enim montes.",3,3,4,"","","","","Dissonance_no_write",7,5,9
"258","Exp2First",2.33333333333333,8,8,3,7,1,3,NA,NA,NA,4,8,3,4.3125,3.66666666666667,4,9,2,55,2,"Eros, id gravida, euismod. Bibendum elit volutpat lorem neque fringilla maecenas cursus vitae.","Vel ante arcu nibh, maecenas. Donec augue vehicula enim wisi dignissim felis curabitur sem.",4,4,2,"","","","","Dissonance_no_write",4,8,3
"259","Exp2First",2.66666666666667,2,4,2,1,8,6,NA,NA,NA,7,7,4,3.625,3.41666666666667,1,7,5,51,3,"Eu suspendisse? Suscipit convallis nunc posuere id. Malesuada integer consectetuer. Gravida rhoncus? Eleifend pharetra? Eros.","Sapien dignissim cursus volutpat mattis ultrices facilisi. Sem. Sollicitudin commodo.",6,7,2,"","","","","Dissonance_no_write",7,7,4
"260","Exp1First",2,7,4,4,8,2,4,4,2,9,NA,NA,NA,4.0625,4.08333333333333,5.5,6,3,8,2,"Natoque. Vitae porttitor non ridiculus nulla tellus culpa ut? Neque eu, natoque elementum integer? Tincidunt.","Faucibus donec egestas eros sapien. Purus! Auctor. Tincidunt lacus dui. Consectetuer.",1,1,6,"","","","","Dissonance_no_write",4,2,9
"261","Exp2First",2.5,4,2,8,3,3,8,NA,NA,NA,2,8,6,4.125,3.75,4.5,8,2,65,2,"Ultrices gravida primis per, magnis! Eget! Laoreet dui enim maecenas curabitur vehicula.","Mi aliquet nonummy natoque ante non vivamus arcu. Ridiculus auctor sapien rhoncus vitae purus erat.",4,7,5,"","","","","Dissonance_no_write",2,8,6
"262","Exp1First",2.16666666666667,3,4,7,8,4,2,3,1,6,NA,NA,NA,4.1875,3.41666666666667,6,1,5,15,3,"Venenatis. Faucibus wisi? Elit lacus dictumst elit rhoncus consequat etiam iaculis accusamus porttitor egestas pellentesque.","Aenean tempor eget leo accumsan dapibus eros tincidunt enim fermentum id ligula sollicitudin.",1,5,4,"","","","","Dissonance_no_write",3,1,6
"263","Exp1First",2.83333333333333,4,3,8,6,9,7,8,5,2,NA,NA,NA,4.1875,3.91666666666667,4,9,5,76,2,"Pede ac placerat viverra urna aliquet aliquet integer gravida vehicula ultrices.","Vehicula porttitor, lectus in tincidunt. Donec nec praesent dolor dictumst luctus maecenas aenean sollicitudin.",4,6,2,"","","","","Dissonance_no_write",8,5,2
"264","Exp1First",2.83333333333333,3,4,6,3,6,8,7,4,2,NA,NA,NA,4.625,3.66666666666667,4.5,5,4,72,2,"Quis viverra quam orci placerat porttitor ante suscipit duis elementum.","Sapien risus facilisi proin nec? Eget pede sollicitudin per erat porttitor maecenas.",3,1,3,"","","","","Dissonance_no_write",7,4,2
"265","Exp2First",1.66666666666667,1,5,9,7,7,6,NA,NA,NA,3,1,5,4.375,3.5,4,6,7,0,2,"Eros! Augue. Culpa consectetuer molestie nec pretium duis purus rhoncus! Vehicula enim viverra vivamus! Molestie.","Sit venenatis gravida tortor mattis. Enim, porttitor sed ut dolor.",3,1,5,"","","","","Dissonance_no_write",3,1,5
"266","Exp2First",3.5,9,9,9,3,3,4,6,5,9,NA,NA,NA,4.125,4,2,7,7,99,4,"Ultricies tempor dapibus pretium morbi molestie. Augue urna. Sollicitudin tempus.","Ut eget metus ridiculus temporibus potenti? Ipsum tempus quam ultricies praesent bibendum quam.",1,3,2,"","","","","Dissonance_no_write",6,5,9
"267","Exp1First",3.33333333333333,7,7,1,7,3,8,2,5,9,NA,NA,NA,4.5625,3.58333333333333,4.5,4,3,4,2,"Urna porta urna non luctus quis elit blandit wisi non. Fermentum mauris vestibulum odio.","Venenatis? Proin? Magnis dictumst? Etiam magnis dolor imperdiet quam porta.",4,4,1,"","","","","Dissonance_no_write",2,5,9
"268","Exp2First",2,2,6,7,2,5,3,NA,NA,NA,2,9,8,4,3.75,3,7,4,55,3,"Ullamcorper facilisi suspendisse duis a porttitor ultricies, cras auctor commodo tellus.","Lacus dolorem! Viverra eleifend curabitur magnis! Massa nunc. Viverra purus.",5,4,2,"","","","","Dissonance_no_write",2,9,8
"269","Exp2First",2.66666666666667,9,2,2,3,4,3,1,7,7,NA,NA,NA,4.1875,4.08333333333333,5,6,6,87,3,"Eleifend blandit phasellus ultrices molestie non vivamus bibendum interdum, tellus wisi montes lorem justo.","Id mattis viverra. Ligula! Lectus mattis? Posuere. Leo fringilla accusamus.",4,2,4,"","","","","Dissonance_no_write",1,7,7
"270","Exp2First",2.33333333333333,8,9,1,2,2,2,NA,NA,NA,4,5,6,3.9375,4.41666666666667,4.5,5,10,86,2,"Porttitor justo bibendum, leo, aliquet. Aliquam tincidunt, rutrum pretium, posuere duis malesuada.","Consectetuer porta venenatis lacus proin interdum justo! Eleifend sed dolorem amet. Quam? Molestie eleifend.",2,1,7,"","","","","Dissonance_no_write",4,5,6
"271","Exp2First",2.66666666666667,9,9,2,6,5,2,NA,NA,NA,6,6,4,3.9375,3.5,5.5,9,8,61,3,"Risus sapien ullamcorper proin interdum magna. Quis non nibh atque at placerat ridiculus. Eleifend.","Turpis, luctus potenti enim nibh wisi. Ab sed! Pede temporibus eleifend praesent ultrices nullam.",5,1,3,"","","","","Dissonance_no_write",6,6,4
"272","Exp1First",3.33333333333333,5,1,2,7,1,2,6,6,3,NA,NA,NA,4.5625,3.66666666666667,2,9,4,90,3,"Quam. Quam lacus ut purus. Laoreet culpa per metus, erat mattis tempor.","Suscipit ligula at ligula! Elit neque elementum purus dui id ultrices tellus duis.",4,7,7,"","","","","Dissonance_no_write",6,6,3
"273","Exp2First",2.5,5,8,5,2,8,2,NA,NA,NA,1,5,7,4.625,3.66666666666667,3,6,5,78,1,"Montes. Nec velit lacus. Dictumst eget. Porta pretium. Primis bibendum, rhoncus mi.","Iaculis volutpat urna montes mattis magna magnis. Tempus. Phasellus nibh sem rutrum morbi.",5,3,4,"","","","","Dissonance_no_write",1,5,7
"274","Exp2First",3.33333333333333,2,5,8,1,2,8,NA,NA,NA,6,7,7,4,2.83333333333333,6.5,4,6,47,1,"Tortor ipsum commodo duis sagittis phasellus enim ullamcorper tellus urna.","Sagittis tempora eget nonummy turpis primis elit! Arcu in. Augue accusamus in ullamcorper! Consectetuer.",5,5,4,"","","","","Dissonance_no_write",6,7,7
"275","Exp1First",2.16666666666667,6,5,5,1,2,2,NA,NA,NA,8,3,1,4.375,4,3,6,1,82,2,"Et magna. Bibendum amet malesuada nullam augue molestie. In augue.","Tortor suspendisse tincidunt dapibus enim tincidunt. Metus, ultrices dictumst eleifend mattis, etiam tempora magna.",1,6,4,"","","","","Dissonance_no_write",8,3,1
"276","Exp1First",2.5,7,4,3,9,3,7,NA,NA,NA,6,4,5,4.3125,3.08333333333333,3.5,6,6,32,3,"Non in! Convallis leo. Vulputate dui, platea maecenas? Augue a, dolorem ullamcorper vehicula orci.","Consequat fermentum egestas quis. At in lorem. Eleifend dolorem, justo leo augue? Faucibus.",2,4,3,"","","","","Dissonance_no_write",6,4,5
"277","Exp2First",2.33333333333333,8,6,4,3,1,8,NA,NA,NA,2,2,7,4.0625,4,4.5,8,1,53,1,"Pellentesque. Ab bibendum imperdiet leo. Ipsum eget faucibus et integer.","Vivamus? Commodo morbi primis vulputate odio atque urna! Dignissim eros.",3,6,7,"","","","","Dissonance_no_write",2,2,7
"278","Exp1First",2.16666666666667,2,8,1,6,8,3,4,2,9,NA,NA,NA,3.9375,3.83333333333333,2,3,3,26,3,"Nullam consequat commodo. Tempor? Phasellus, posuere cursus! Etiam convallis sagittis, ut nulla.","Facilisi morbi consequat est, augue atque luctus dolorem sem fermentum. Odio, sodales dictumst rutrum. Primis.",4,2,5,"","","","","Dissonance_no_write",4,2,9
"279","Exp2First",2,7,2,7,5,5,5,2,4,1,NA,NA,NA,4.125,3.41666666666667,5,5,5,69,4,"Velit massa, nibh! Urna wisi, diam praesent! Malesuada sodales ultrices, praesent pharetra! Vestibulum.","Luctus convallis augue consectetuer consectetuer. Nunc malesuada praesent eget duis. Egestas tempor.",1,5,2,"","","","","Dissonance_no_write",2,4,1
"280","Exp1First",2.83333333333333,1,5,1,5,7,7,NA,NA,NA,9,8,1,4.625,3.25,4,6,4,9,1,"Lectus tortor nec tempor leo vel velit montes cras tellus sed donec.","Ut elit suscipit. Pharetra mauris augue. Phasellus velit erat nunc.",2,3,2,"","","","","Dissonance_no_write",9,8,1
"281","Exp1First",4,1,2,4,2,5,4,NA,NA,NA,7,2,1,4.8125,3.5,2,7,8,43,1,"Tincidunt aliquet velit vivamus vehicula porta potenti? Temporibus lorem suspendisse! Nullam consectetuer platea suspendisse.","Amet magna eros nec velit arcu sit mauris purus! Non. Praesent aliquam temporibus.",5,7,2,"","","","","Dissonance_no_write",7,2,1
"282","Exp2First",2,1,1,6,8,9,7,NA,NA,NA,6,5,1,4.1875,3.41666666666667,4.5,8,6,92,1,"Ligula neque. Malesuada consectetuer tempus neque. Ac ligula blandit! Nullam venenatis maecenas.","Consequat tincidunt! Ac rhoncus per potenti pharetra. Porttitor tortor mauris? Vehicula quam.",5,3,4,"","","","","Dissonance_no_write",6,5,1
"283","Exp1First",3.5,1,7,6,7,7,6,NA,NA,NA,9,5,7,4.125,2.91666666666667,5,6,6,66,4,"Ante ante suscipit culpa enim? Vestibulum egestas culpa porttitor aliquet quis.","Morbi metus natoque ante etiam auctor viverra natoque vestibulum! Porta! Et interdum etiam. Ac.",6,7,3,"","","","","Dissonance_no_write",9,5,7
"284","Exp2First",2.66666666666667,1,2,7,3,1,5,6,7,8,NA,NA,NA,4.125,3.66666666666667,4,2,6,87,3,"Suscipit rhoncus luctus ante aenean iaculis scelerisque rhoncus neque laoreet egestas, malesuada.","Consequat gravida ac eu temporibus convallis justo ligula metus fermentum mi.",6,1,6,"","","","","Dissonance_no_write",6,7,8
"285","Exp2First",3.16666666666667,8,9,3,5,4,8,NA,NA,NA,9,3,5,4.8125,3.83333333333333,3,6,3,71,2,"Pellentesque eleifend dui tincidunt metus vestibulum? Natoque mi molestie donec, justo rhoncus.","Fusce? Pretium posuere. Atque nonummy blandit orci gravida rutrum a mattis.",6,3,7,"","","","","Dissonance_no_write",9,3,5
"286","Exp1First",2.66666666666667,1,8,3,5,4,2,NA,NA,NA,3,9,7,4.5,4.08333333333333,4,4,4,11,4,"Amet, mauris lectus curabitur. Wisi dapibus commodo aliquet porta ultricies! Ipsum temporibus amet imperdiet augue.","Aliquam pharetra porta donec integer, aliquam nonummy ligula magnis mattis pellentesque euismod fringilla.",5,6,3,"","","","","Dissonance_no_write",3,9,7
"287","Exp2First",2.16666666666667,8,2,6,7,8,5,8,2,8,NA,NA,NA,4.75,3.83333333333333,1,3,8,2,4,"Phasellus accumsan ut integer platea. Facilisis, leo. Est accumsan nunc mattis.","Porttitor nonummy scelerisque a posuere potenti blandit sollicitudin sodales ab porttitor.",5,1,1,"","","","","Dissonance_no_write",8,2,8
"288","Exp2First",4.33333333333333,9,8,5,8,1,1,7,5,2,NA,NA,NA,4.4375,3.58333333333333,4.5,7,4,38,3,"Interdum. Pharetra! Diam, phasellus lacus ultrices eget euismod cursus aenean ultrices.","Aenean? Felis lacus platea tincidunt eros, blandit at orci nulla.",3,7,6,"","","","","Dissonance_no_write",7,5,2
"289","Exp2First",3,4,7,9,9,5,3,NA,NA,NA,9,5,7,4.75,3.75,6.5,8,5,86,3,"Eros euismod maecenas, volutpat suspendisse temporibus nullam laoreet dolor vehicula! Dolorem vel dignissim? Ultrices.","A ligula nonummy risus tincidunt turpis at per montes nibh.",6,6,6,"","","","","Dissonance_no_write",9,5,7
"290","Exp1First",3.33333333333333,3,8,1,5,7,9,NA,NA,NA,4,4,1,4.375,3.75,4,9,7,74,3,"Facilisis rhoncus luctus fermentum sodales in fusce pellentesque venenatis lorem. Ullamcorper eget molestie, lorem.","Nonummy. Venenatis platea! Sapien ultrices rhoncus commodo aenean sodales laoreet. Imperdiet eleifend.",3,4,5,"","","","","Dissonance_no_write",4,4,1
"291","Exp1First",3.16666666666667,5,6,6,8,1,9,6,5,3,NA,NA,NA,4.625,3.16666666666667,2,5,10,44,1,"Nulla lorem euismod nonummy rhoncus magnis sapien fusce suscipit neque? Commodo fermentum mattis.","Morbi, phasellus luctus, atque lorem molestie. Purus id? Fusce sagittis ac sem duis! Ab.",5,7,2,"","","","","Dissonance_no_write",6,5,3
"292","Exp2First",2.83333333333333,1,8,1,9,1,3,7,8,2,NA,NA,NA,4.125,4.08333333333333,2.5,6,10,80,3,"Viverra mauris sed porta? Diam. Ac turpis enim diam elit. Primis vehicula praesent.","Commodo tincidunt cras fusce nulla consequat ullamcorper donec. Venenatis ridiculus aliquet cursus.",6,7,2,"","","","","Dissonance_no_write",7,8,2
"293","Exp1First",2.83333333333333,9,9,5,8,4,3,6,3,1,NA,NA,NA,3.625,3.75,3,6,7,32,4,"Consectetuer id? Tempus montes pellentesque imperdiet lectus ligula viverra! Est? Luctus.","Primis vestibulum, egestas sed felis morbi atque per venenatis facilisi aenean ligula.",1,7,4,"","","","","Dissonance_no_write",6,3,1
"294","Exp1First",3.33333333333333,1,5,2,5,4,1,NA,NA,NA,4,2,1,4.5625,3.33333333333333,5,8,7,84,4,"Diam. Malesuada potenti felis montes? Urna rutrum tempor temporibus metus ultricies pellentesque.","Augue fusce sapien leo cursus mauris id massa ab fusce massa non montes.",2,7,6,"","","","","Dissonance_no_write",4,2,1
"295","Exp1First",4.16666666666667,7,4,5,1,6,6,7,4,8,NA,NA,NA,4,4.25,2,7,6,78,2,"Posuere blandit imperdiet lectus faucibus! Nullam augue tincidunt dapibus fusce wisi.","Vestibulum ab est montes vel venenatis venenatis ut ipsum faucibus. Sapien bibendum velit.",3,3,7,"","","","","Dissonance_no_write",7,4,8
"296","Exp2First",3.33333333333333,5,7,2,9,8,5,3,7,4,NA,NA,NA,3.75,3.41666666666667,2.5,9,6,32,1,"Blandit dolorem aenean urna arcu. Placerat molestie ipsum at! Quam sit laoreet.","Tempora? Vel pretium tincidunt iaculis id? Primis morbi egestas fermentum.",2,7,3,"","","","","Dissonance_no_write",3,7,4
"297","Exp1First",3.66666666666667,7,9,2,5,9,9,5,1,9,NA,NA,NA,4.6875,3.5,1.5,5,2,62,3,"Metus nec cursus nulla est eget suscipit laoreet luctus! Suscipit ultrices wisi natoque ipsum.","In, fermentum nonummy vitae tempor wisi vehicula, proin maecenas sodales ridiculus blandit.",3,3,5,"","","","","Dissonance_no_write",5,1,9
"298","Exp1First",3.83333333333333,4,7,7,1,7,8,4,8,3,NA,NA,NA,4.625,4.08333333333333,3.5,4,8,32,4,"Dignissim tempus porta justo dictumst a facilisi odio id auctor interdum.","Cursus vitae volutpat natoque quam ab? Curabitur ac auctor sodales sollicitudin felis? Interdum.",5,4,4,"","","","","Dissonance_no_write",4,8,3
"299","Exp1First",3,9,4,7,4,9,3,1,1,2,NA,NA,NA,4.4375,3.25,5,2,6,14,1,"Massa eu a! Fermentum porttitor justo lorem nibh? Scelerisque. Malesuada augue posuere, fusce.","Metus vehicula tempus. Imperdiet duis morbi vel massa pede placerat quam. Nunc ut a per.",1,6,5,"","","","","Dissonance_no_write",1,1,2
"300","Exp2First",3,1,7,1,6,4,9,9,3,6,NA,NA,NA,4.375,3.91666666666667,5.5,6,4,36,4,"Euismod urna duis etiam accumsan tortor ligula. Fusce ac. Tortor venenatis laoreet culpa pede tempus.","Proin porttitor scelerisque vestibulum ante aenean. Per cursus luctus nibh.",6,1,5,"","","","","Dissonance_no_write",9,3,6
"301","Exp2First",3.33333333333333,6,4,3,8,6,9,NA,NA,NA,8,7,3,3.9375,3.41666666666667,4,7,6,79,4,"Euismod arcu. Maecenas quis ipsum maecenas iaculis proin non? Iaculis posuere. Rhoncus phasellus facilisi.","Urna curabitur orci viverra eleifend nunc suspendisse facilisi ultricies. Pellentesque egestas.",2,3,4,"","","","","Dissonance_no_write",8,7,3
"302","Exp2First",2.5,3,6,7,3,9,2,NA,NA,NA,7,4,2,4.5,3.75,3.5,7,3,42,2,"Pharetra! Phasellus? Facilisi egestas mi atque interdum aliquam fermentum eros gravida wisi luctus.","Fusce augue ultrices purus lectus at! Dictumst. Convallis. Porta. Tempus.",1,6,6,"","","","","Dissonance_no_write",7,4,2
"303","Exp2First",2.83333333333333,3,3,7,5,3,7,NA,NA,NA,6,3,2,4.5,3.91666666666667,3,4,7,20,2,"Dui pellentesque, ac est accumsan laoreet? Morbi neque potenti convallis eu est id.","Ultricies euismod! Dapibus. Justo urna ullamcorper volutpat curabitur porta neque quis! Quam.",1,2,1,"","","","","Dissonance_no_write",6,3,2
"304","Exp1First",3.33333333333333,6,6,9,1,5,2,NA,NA,NA,5,7,3,4,3.91666666666667,4.5,6,9,19,2,"Ultrices at fringilla pretium rhoncus dictumst curabitur. Fermentum augue egestas nonummy cursus dolorem.","Magnis aenean lectus elementum in etiam laoreet! Arcu sem fusce porta sollicitudin. Nulla auctor.",3,1,3,"","","","","Dissonance_no_write",5,7,3
"305","Exp1First",2.5,6,2,9,1,7,8,NA,NA,NA,2,7,7,4.6875,3.66666666666667,6.5,5,7,41,3,"Mi eleifend vestibulum, justo ullamcorper lectus natoque suscipit erat quam justo.","Urna dui sollicitudin accusamus nullam per dolor nullam dolorem mi curabitur.",6,4,7,"","","","","Dissonance_no_write",2,7,7
"306","Exp2First",3,8,9,5,4,5,7,NA,NA,NA,6,2,4,3.75,3.66666666666667,4,5,7,54,4,"Magnis augue. Neque urna dictumst cras tempor posuere eu eget per.","Montes erat? Nonummy rhoncus posuere eleifend montes suscipit accusamus porttitor gravida tempora per.",2,6,3,"","","","","Dissonance_no_write",6,2,4
"307","Exp2First",4.16666666666667,3,4,9,9,9,2,6,4,3,NA,NA,NA,4.8125,3.83333333333333,4,3,10,20,2,"Felis tempus commodo quis? Ligula vulputate quam scelerisque gravida mauris ultrices magna ac. Placerat! Felis.","Vestibulum et posuere? Rhoncus vehicula? Porta dictumst montes praesent, a nunc? Pede ullamcorper facilisi nullam.",4,1,1,"","","","","Dissonance_no_write",6,4,3
